,index,station,date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT05,WT11,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
0,0,GHCND:USC00412114,2014-01-02T00:00:00,58.0,0.0,0.0,0.0,172.0,-6.0,-6.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
1,1,GHCND:USC00412114,2014-01-03T00:00:00,22.0,0.0,0.0,0.0,89.0,-39.0,-11.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
2,2,GHCND:USC00412114,2014-01-06T00:00:00,45.0,0.0,0.0,0.0,83.0,-61.0,-61.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
3,3,GHCND:USC00412114,2014-01-07T00:00:00,13.0,0.0,0.0,0.0,0.0,-72.0,-72.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
4,4,GHCND:USC00412114,2014-02-06T00:00:00,54.0,0.0,,,50.0,-22.0,-22.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
5,5,GHCND:USC00412114,2014-02-07T00:00:00,13.0,38.0,0.0,,11.0,-28.0,6.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
6,6,GHCND:USC00412114,2014-02-08T00:00:00,22.0,18.0,,,39.0,0.0,39.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
7,7,GHCND:USC00412114,2014-02-09T00:00:00,18.0,0.0,,,122.0,33.0,83.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
8,8,GHCND:USC00412114,2014-02-10T00:00:00,9.0,5.0,,,189.0,67.0,67.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
9,9,GHCND:USC00412114,2014-02-11T00:00:00,22.0,25.0,,,67.0,11.0,22.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
10,10,GHCND:USC00412114,2014-02-12T00:00:00,0.0,124.0,,,44.0,-6.0,6.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
11,11,GHCND:USC00412114,2014-02-13T00:00:00,4.0,0.0,,,94.0,-22.0,-6.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
12,12,GHCND:USC00412114,2014-02-14T00:00:00,22.0,0.0,,,172.0,-11.0,61.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
13,13,GHCND:USC00412114,2014-02-15T00:00:00,9.0,0.0,,,228.0,22.0,22.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
14,14,GHCND:USC00412114,2014-02-16T00:00:00,36.0,0.0,,,211.0,22.0,111.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
15,15,GHCND:USC00412114,2014-02-18T00:00:00,22.0,0.0,,,267.0,94.0,117.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
16,16,GHCND:USC00412114,2014-02-19T00:00:00,22.0,0.0,,,267.0,117.0,167.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
17,17,GHCND:USC00412114,2014-02-20T00:00:00,27.0,0.0,,,267.0,167.0,200.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
18,18,GHCND:USC00412114,2014-02-21T00:00:00,0.0,64.0,,,267.0,22.0,28.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
19,19,GHCND:USC00412114,2014-02-22T00:00:00,9.0,0.0,,,200.0,22.0,56.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
20,20,GHCND:USC00412114,2014-02-24T00:00:00,27.0,0.0,,,250.0,117.0,128.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
21,21,GHCND:USC00412114,2014-02-25T00:00:00,9.0,0.0,,,194.0,122.0,161.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
22,22,GHCND:USC00412114,2014-02-28T00:00:00,54.0,0.0,,,144.0,-6.0,67.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
23,23,GHCND:USC00412114,2014-03-01T00:00:00,31.0,8.0,,,217.0,67.0,194.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
24,24,GHCND:USC00412114,2014-03-02T00:00:00,27.0,0.0,,,267.0,194.0,194.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
25,25,GHCND:USC00412114,2014-03-03T00:00:00,49.0,51.0,,,217.0,-56.0,-50.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
26,26,GHCND:USC00412114,2014-03-04T00:00:00,18.0,0.0,,,-6.0,-56.0,-11.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
27,27,GHCND:USC00412114,2014-03-05T00:00:00,13.0,0.0,,,94.0,-17.0,17.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
28,28,GHCND:USC00412114,2014-03-06T00:00:00,22.0,8.0,,,117.0,11.0,67.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
29,29,GHCND:USC00412114,2014-03-07T00:00:00,0.0,0.0,,,156.0,0.0,11.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
30,30,GHCND:USC00412114,2014-03-08T00:00:00,22.0,0.0,,,189.0,6.0,117.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
31,31,GHCND:USC00412114,2014-03-09T00:00:00,27.0,193.0,,,189.0,56.0,56.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
32,32,GHCND:USC00412114,2014-03-10T00:00:00,0.0,0.0,,,128.0,50.0,72.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
33,33,GHCND:USC00412114,2014-03-11T00:00:00,22.0,0.0,,,239.0,67.0,128.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
